,0
2408,145212
2409,145220
2410,145228
2411,145237
2412,145245
2413,145253
2414,145262
2415,145270
2416,145278
2417,145287
2418,145295
2419,145303
2420,145312
2421,145320
2422,145329
2423,145337
2424,145345
2425,145354
2426,145362
2427,145370
2428,145379
2429,145387
2430,145395
2431,145404
2432,145412
2433,145420
2434,145429
2435,145437
2436,145445
2437,145454
2438,145462
2439,145470
2440,145479
2441,145487
2442,145495
2443,145504
2444,145512
2445,145520
2446,145529
2447,145537
2448,145545
2449,145554
2450,145562
2451,145570
2452,145579
2453,145587
2454,145595
2455,145604
2456,145612
2457,145620
2458,145629
2459,145637
2460,145646
2461,145654
2462,145662
2463,145671
2464,145679
2465,145687
2466,145696
2467,145704
2468,145712
2469,145721
2470,145729
2471,145737
2472,145746
2473,145754
2474,145762
2475,145771
2476,145779
2477,145787
2478,145796
2479,145804
2480,145812
2481,145821
2482,145829
2483,145837
2484,145846
2485,145854
2486,145862
2487,145871
2488,145879
2489,145887
2490,145896
2491,145904
2492,145912
2493,145921
2494,145929
2495,145937
2496,145946
